Site,ID,site.number,site.density,site.lat,site.lng,shrub.count,shrub.number,shrub.lat,shrub.lng,x,y,z,shrub.species
Carrizo,1,4,High,35.11985,-119.62835,12,1,35.11982,-119.62853,300,240,145,ephedra
Carrizo,2,4,High,35.11985,-119.62835,12,2,35.11984,-119.62843,434,260,143,ephedra
Carrizo,3,4,High,35.11985,-119.62835,12,3,35.11988,-119.62846,326,228,156,ephedra
Carrizo,4,4,High,35.11985,-119.62835,12,4,35.11992,-119.62839,224,158,138,ephedra
Carrizo,5,4,High,35.11985,-119.62835,12,5,35.11992,-119.62836,222,170,135,ephedra
Carrizo,6,4,High,35.11985,-119.62835,12,6,35.11994,-119.62836,196,173,151,ephedra
Carrizo,7,4,High,35.11985,-119.62835,12,7,35.11991,-119.62831,182,157,153,ephedra
Carrizo,8,4,High,35.11985,-119.62835,12,8,35.1199,-119.62833,185,184,118,ephedra
Carrizo,9,4,High,35.11985,-119.62835,12,9,35.11993,-119.62827,174,147,102,ephedra
Carrizo,10,4,High,35.11985,-119.62835,12,10,35.11983,-119.62827,277,223,129,ephedra
Carrizo,11,4,High,35.11985,-119.62835,12,11,35.11982,-119.82827,281,205,121,ephedra
Carrizo,12,4,High,35.11985,-119.62835,12,12,35.1198,-119.62828,271,241,125,ephedra
Carrizo,13,4,Medium,35.1192,-119.62947,6,1,35.1191,-119.62843,262,256,148,ephedra
Carrizo,14,4,Medium,35.1192,-119.62947,6,2,35.11917,-119.62843,274,254,159,ephedra
Carrizo,15,4,Medium,35.1192,-119.62947,6,3,35.11923,-119.62852,493,398,144,ephedra
Carrizo,16,4,Medium,35.1192,-119.62947,6,4,35.11929,-119.62836,221,281,131,ephedra
Carrizo,17,4,Medium,35.1192,-119.62947,6,5,35.11929,-119.62834,295,255,123,ephedra
Carrizo,18,4,Medium,35.1192,-119.62947,6,6,35.11926,-119.62825,338,310,148,ephedra
Carrizo,19,4,Low,35.11889,-119.62922,2,1,35.11881,-119.62924,230,200,132,ephedra
Carrizo,20,4,Low,35.11889,-119.62922,2,2,35.1188,-119.62924,269,164,112,ephedra
Carrizo,21,4,None,35.11845,-119.62862,0,,,,,,,
